,precision,recall,f1-score,support
Apple___Apple_scab,0.9888888888888889,0.89,0.9368421052631579,100.0
Apple___Black_rot,0.9423076923076923,0.98989898989899,0.9655172413793104,99.0
Apple___Cedar_apple_rust,0.9662921348314607,0.9772727272727273,0.9717514124293786,88.0
Apple___healthy,0.9607843137254902,0.98,0.9702970297029703,100.0
Blueberry___healthy,1.0,0.9888888888888889,0.994413407821229,90.0
Cherry_(including_sour)___Powdery_mildew,0.9880952380952381,0.9880952380952381,0.9880952380952381,84.0
Cherry_(including_sour)___healthy,0.978494623655914,1.0,0.9891304347826086,91.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9113924050632911,0.8780487804878049,0.8944099378881988,82.0
Corn_(maize)___Common_rust_,0.9223300970873787,1.0,0.9595959595959596,95.0
Corn_(maize)___Northern_Leaf_Blight,0.9340659340659341,0.8947368421052632,0.9139784946236559,95.0
Corn_(maize)___healthy,1.0,1.0,1.0,93.0
Grape___Black_rot,0.968421052631579,0.9787234042553191,0.9735449735449735,94.0
Grape___Esca_(Black_Measles),0.9789473684210527,0.96875,0.9738219895287958,96.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9883720930232558,0.9941520467836257,86.0
Grape___healthy,1.0,0.9880952380952381,0.9940119760479041,84.0
Orange___Haunglongbing_(Citrus_greening),0.9803921568627451,1.0,0.9900990099009901,100.0
Peach___Bacterial_spot,0.9777777777777777,0.967032967032967,0.9723756906077348,91.0
Peach___healthy,1.0,1.0,1.0,86.0
"Pepper,_bell___Bacterial_spot",0.9574468085106383,0.9473684210526315,0.9523809523809523,95.0
"Pepper,_bell___healthy",0.9895833333333334,0.9595959595959596,0.9743589743589743,99.0
Potato___Early_blight,0.9895833333333334,0.979381443298969,0.9844559585492227,97.0
Potato___Late_blight,0.9393939393939394,0.9587628865979382,0.9489795918367347,97.0
Potato___healthy,1.0,0.8901098901098901,0.9418604651162791,91.0
Raspberry___healthy,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0
Soybean___healthy,0.9174311926605505,0.9900990099009901,0.9523809523809523,101.0
Squash___Powdery_mildew,1.0,1.0,1.0,86.0
Strawberry___Leaf_scorch,0.9887640449438202,1.0,0.9943502824858758,88.0
Strawberry___healthy,0.9578947368421052,1.0,0.978494623655914,91.0
Tomato___Bacterial_spot,0.6159420289855072,1.0,0.7623318385650224,85.0
Tomato___Early_blight,0.9107142857142857,0.53125,0.6710526315789473,96.0
Tomato___Late_blight,0.9577464788732394,0.7391304347826086,0.8343558282208589,92.0
Tomato___Leaf_Mold,0.8411214953271028,0.9574468085106383,0.8955223880597015,94.0
Tomato___Septoria_leaf_spot,0.7894736842105263,0.6896551724137931,0.7361963190184049,87.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9714285714285714,0.7816091954022989,0.8662420382165605,87.0
Tomato___Target_Spot,0.5661764705882353,0.8461538461538461,0.6784140969162996,91.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9489795918367347,0.9738219895287958,98.0
Tomato___Tomato_mosaic_virus,1.0,0.8202247191011236,0.9012345679012346,89.0
Tomato___healthy,0.9375,0.9375,0.9375,96.0
accuracy,0.9329146445903511,0.9329146445903511,0.9329146445903511,0.9329146445903511
macro avg,0.9425566876974592,0.9327354366541298,0.933019328729218,3503.0
weighted avg,0.9431947803812069,0.9329146445903511,0.933491795838038,3503.0
